Conflict_ID,Region,Conflict_Type,Start_Date,End_Date,Number_of_Incidents,Number_of_Deaths,Intervention_ID,Intervention_Country,Intervention_Organization,Intervention_Type,Intervention_Start_Date,Intervention_End_Date,Intervention_Success,Country,Population,GDP_Per_Capita,Unemployment_Rate,Poverty_Index,Literacy_Rate,Ethnic_Group,Main_Religion,Ethnic_Religious_Tension,Number_of_Conflicts,Last_Conflict_Date,Corruption_Index,Governance_Quality,Government_Transparency,Number_of_Scandals,Number_of_Displaced_People,Number_of_Refugees,Humanitarian_Needs,Access_to_Humanitarian_Aid,Technology_Use_in_Conflicts,Technological_Investment,Number_of_Data_Analysis_Projects,Data_Analysis_Effectiveness
11,Iran,civil war,2010-01-11,2023-01-01,18,709,11,Afghanistan,NATO,military,2010-01-11,2023-01-01,partial,Syria,26337038,24139,21.73,55.75,68.27,Persian,Shia Islam,medium,3,2020-01-11,5.36,3,8,0,3928778,213261,water,low,high,42,28,5
12,Yemen,territorial conflict,2010-01-12,2023-01-01,96,135,12,Syria,UN,humanitarian,2010-01-12,2023-01-01,yes,Yemen,32167489,9105,20.64,40.55,84.34,Kurd,Shia Islam,low,7,2020-01-12,9.45,6,4,9,3850351,1678959,shelter,low,high,17,23,1
13,Afghanistan,terrorism,2010-01-13,,45,79,13,Iraq,NATO,military,2010-01-13,,no,Afghanistan,11114813,4393,48.98,43.24,91.99,Turkoman,Christianity,high,3,2020-01-13,5.48,3,6,8,339882,133104,food,medium,low,65,24,9
14,Afghanistan,terrorism,2010-01-14,2023-01-01,96,527,14,Syria,UN,diplomatic,2010-01-14,,yes,Yemen,7764515,11034,35.26,16.28,81.91,Turkoman,Shia Islam,medium,14,2020-01-14,5.79,9,9,0,2442038,72312,shelter,high,low,73,23,8
15,Yemen,civil war,2010-01-15,2023-01-01,9,237,15,Iran,Red Cross,diplomatic,2010-01-15,2023-01-01,no,Yemen,16759530,28094,22.29,5.95,77.19,Baluchi,Christianity,high,19,2020-01-15,5.58,7,3,3,1620133,1566941,medicine,low,low,82,14,9
16,Yemen,territorial conflict,2010-01-16,2023-01-01,83,54,16,Iran,Red Cross,diplomatic,2010-01-16,2023-01-01,no,Iraq,28212197,33891,13.28,37.55,83.32,Baluchi,Christianity,medium,7,2020-01-16,4.33,5,4,6,1925599,2801485,water,high,high,59,41,6
17,Iran,civil war,2010-01-17,2023-01-01,77,383,17,Syria,UN,diplomatic,2010-01-17,2023-01-01,partial,Iraq,18110519,13841,34.03,48.23,61.5,Kurd,Sunni Islam,medium,0,2020-01-17,8.92,5,8,6,4849901,2992943,shelter,medium,medium,34,30,3
18,Syria,civil war,2010-01-18,2023-01-01,76,967,18,Afghanistan,Red Cross,diplomatic,2010-01-18,2023-01-01,no,Yemen,37219044,37287,8.02,9.56,60.61,Kurd,Christianity,medium,11,2020-01-18,5.0,2,5,5,4150947,2685719,food,low,medium,52,12,4
19,Syria,terrorism,2010-01-19,,38,339,19,Iraq,UN,diplomatic,2010-01-19,2023-01-01,partial,Syria,10008981,48699,44.11,7.14,71.1,Arab,Shia Islam,low,6,2020-01-19,4.31,2,2,4,4753723,419531,water,medium,medium,44,4,8
20,Yemen,territorial conflict,2010-01-20,,45,807,20,Afghanistan,UN,military,2010-01-20,2023-01-01,yes,Iran,32034097,35292,29.2,33.38,90.07,Kurd,Sunni Islam,low,1,2020-01-20,6.06,4,7,4,2128959,2957099,medicine,low,high,98,25,3
21,Iran,territorial conflict,2010-01-21,,55,511,21,Iran,Red Cross,humanitarian,2010-01-21,2023-01-01,partial,Iraq,2098869,28764,21.37,21.25,73.51,Baluchi,Sunni Islam,high,14,2020-01-21,6.47,1,5,6,4019618,1190942,water,low,high,90,6,4
22,Iran,civil war,2010-01-22,2023-01-01,79,50,22,Yemen,UN,diplomatic,2010-01-22,,no,Afghanistan,9900273,20990,24.65,50.98,62.3,Turkoman,Shia Islam,medium,5,2020-01-22,3.74,1,9,8,487930,876902,shelter,low,high,19,35,8
23,Yemen,terrorism,2010-01-23,,82,878,23,Afghanistan,UN,humanitarian,2010-01-23,2023-01-01,yes,Yemen,8092896,34977,48.31,24.68,64.17,Turkoman,Shia Islam,low,2,2020-01-23,10.0,1,3,0,4339653,2668227,medicine,medium,medium,1,29,1
24,Iran,terrorism,2010-01-24,2023-01-01,88,935,24,Iraq,Red Cross,military,2010-01-24,,no,Afghanistan,33434506,45811,18.88,41.31,69.28,Baluchi,Shia Islam,high,0,2020-01-24,3.71,8,7,7,2549855,1006695,food,low,medium,26,7,8
25,Iran,territorial conflict,2010-01-25,,77,246,25,Afghanistan,Red Cross,humanitarian,2010-01-25,,no,Iraq,2872191,42607,39.94,55.37,88.25,Kurd,Sunni Islam,high,5,2020-01-25,5.53,5,1,6,228104,770557,medicine,medium,high,73,41,4
26,Iran,terrorism,2010-01-26,,24,367,26,Iraq,Red Cross,humanitarian,2010-01-26,2023-01-01,no,Iran,15696129,24548,44.61,25.15,98.48,Kurd,Sunni Islam,medium,16,2020-01-26,6.79,4,8,5,4196410,1015031,food,high,low,41,32,4
27,Yemen,terrorism,2010-01-27,,75,472,27,Iraq,NATO,humanitarian,2010-01-27,,no,Iran,25193289,36419,40.27,13.7,68.4,Persian,Christianity,medium,6,2020-01-27,5.17,9,2,2,4825068,1279482,shelter,high,high,94,40,9
28,Afghanistan,territorial conflict,2010-01-28,,27,92,28,Afghanistan,UN,diplomatic,2010-01-28,2023-01-01,yes,Iran,21962598,8270,46.01,22.21,70.72,Arab,Shia Islam,medium,7,2020-01-28,4.5,5,4,8,3981605,2698843,shelter,low,high,99,30,4
29,Iran,civil war,2010-01-29,,46,535,29,Afghanistan,UN,humanitarian,2010-01-29,2023-01-01,partial,Iraq,23631176,12771,19.98,14.4,52.19,Turkoman,Christianity,high,18,2020-01-29,8.07,5,1,2,1030946,1391212,water,medium,low,60,40,2
30,Iraq,civil war,2010-01-30,,97,546,30,Afghanistan,UN,military,2010-01-30,2023-01-01,yes,Yemen,28656930,28773,16.42,44.52,90.4,Baluchi,Shia Islam,medium,2,2020-01-30,2.68,5,2,3,1990326,1775258,shelter,medium,medium,47,39,2
31,Afghanistan,territorial conflict,2010-01-31,,76,772,31,Yemen,Red Cross,humanitarian,2010-01-31,2023-01-01,no,Yemen,2476127,4228,7.26,31.48,74.12,Arab,Shia Islam,low,3,2020-01-31,1.1,1,7,1,963711,583160,shelter,high,medium,93,1,9
32,Afghanistan,civil war,2010-02-01,,63,50,32,Afghanistan,Red Cross,diplomatic,2010-02-01,,no,Afghanistan,4116379,27193,40.74,53.6,95.65,Kurd,Christianity,medium,14,2020-02-01,2.89,7,7,5,2349594,1178400,water,low,medium,33,43,2
33,Iraq,civil war,2010-02-02,,46,845,33,Iran,UN,diplomatic,2010-02-02,2023-01-01,no,Yemen,6790656,19805,36.43,15.24,76.24,Kurd,Sunni Islam,low,11,2020-02-02,4.44,7,7,4,842832,1793665,shelter,high,high,87,49,5
34,Iraq,civil war,2010-02-03,2023-01-01,28,558,34,Yemen,NATO,military,2010-02-03,,partial,Afghanistan,35222253,31874,41.65,30.28,91.07,Arab,Shia Islam,low,0,2020-02-03,1.34,1,7,5,1121579,2762066,food,high,high,95,43,2
35,Iraq,terrorism,2010-02-04,,28,866,35,Iran,UN,diplomatic,2010-02-04,2023-01-01,yes,Afghanistan,23981736,27309,44.86,51.82,82.76,Kurd,Shia Islam,low,11,2020-02-04,6.22,8,5,7,1118987,2944971,food,medium,high,13,29,6
36,Afghanistan,territorial conflict,2010-02-05,,2,211,36,Yemen,UN,military,2010-02-05,,no,Yemen,23518407,37031,47.88,5.96,93.68,Persian,Sunni Islam,low,3,2020-02-05,1.27,1,2,7,3378085,1239808,water,low,high,91,43,3
37,Afghanistan,terrorism,2010-02-06,2023-01-01,50,326,37,Afghanistan,NATO,military,2010-02-06,,partial,Yemen,35297118,25907,37.61,49.94,69.84,Persian,Sunni Islam,high,10,2020-02-06,7.53,5,5,0,438742,411916,medicine,high,medium,56,42,6
38,Syria,terrorism,2010-02-07,2023-01-01,8,621,38,Iran,UN,humanitarian,2010-02-07,2023-01-01,yes,Iraq,27690805,44616,34.54,21.75,74.33,Turkoman,Shia Islam,high,16,2020-02-07,9.92,8,6,6,2959261,2506793,shelter,high,high,16,41,3
39,Yemen,terrorism,2010-02-08,2023-01-01,11,160,39,Iran,NATO,diplomatic,2010-02-08,,yes,Syria,17656337,22842,48.05,37.35,76.55,Kurd,Sunni Islam,high,15,2020-02-08,7.29,2,5,6,1868273,1433936,shelter,low,low,1,30,2
40,Iran,terrorism,2010-02-09,,36,245,40,Iran,Red Cross,diplomatic,2010-02-09,2023-01-01,yes,Afghanistan,21451067,14972,8.39,45.56,83.43,Kurd,Shia Islam,low,5,2020-02-09,8.39,6,8,6,241259,15958,water,medium,high,28,8,1
41,Afghanistan,terrorism,2010-02-10,,36,903,41,Iraq,Red Cross,diplomatic,2010-02-10,2023-01-01,no,Iran,7196508,13283,38.2,12.1,72.1,Arab,Sunni Islam,low,0,2020-02-10,4.37,2,1,5,2917525,2408939,medicine,high,low,90,13,3
42,Yemen,civil war,2010-02-11,,89,65,42,Afghanistan,UN,military,2010-02-11,,no,Yemen,36150590,2101,11.2,28.8,82.0,Baluchi,Sunni Islam,high,8,2020-02-11,8.38,8,7,7,1877248,1630255,water,high,medium,31,45,4
43,Syria,civil war,2010-02-12,2023-01-01,94,716,43,Iraq,UN,diplomatic,2010-02-12,2023-01-01,partial,Iran,26423882,46251,37.3,7.66,86.14,Kurd,Shia Islam,low,14,2020-02-12,2.92,3,2,1,1669399,1560162,medicine,medium,high,45,26,5
44,Syria,terrorism,2010-02-13,2023-01-01,31,37,44,Yemen,UN,diplomatic,2010-02-13,,no,Syria,35459739,17039,38.2,43.51,88.81,Persian,Shia Islam,medium,16,2020-02-13,3.62,1,9,8,1860257,865780,water,high,low,84,5,3
45,Afghanistan,territorial conflict,2010-02-14,,25,811,45,Iran,UN,humanitarian,2010-02-14,2023-01-01,yes,Iraq,28454030,2214,41.79,57.01,65.26,Arab,Christianity,high,12,2020-02-14,5.28,9,5,1,1100507,218498,food,medium,medium,9,13,8
46,Syria,civil war,2010-02-15,,29,979,46,Iraq,NATO,diplomatic,2010-02-15,,no,Iran,7232981,6177,28.56,9.42,55.92,Arab,Christianity,low,4,2020-02-15,3.47,2,6,8,1735774,1516045,food,low,medium,80,39,3
47,Iraq,territorial conflict,2010-02-16,2023-01-01,78,418,47,Afghanistan,UN,military,2010-02-16,2023-01-01,partial,Iraq,5249573,13527,27.44,24.58,50.96,Kurd,Christianity,high,13,2020-02-16,1.27,8,6,9,3838382,1998853,water,high,high,66,11,9
48,Syria,terrorism,2010-02-17,,34,931,48,Iraq,NATO,diplomatic,2010-02-17,2023-01-01,yes,Iran,8292722,49785,35.97,59.78,84.66,Kurd,Sunni Islam,low,9,2020-02-17,7.32,5,5,4,1048580,643044,medicine,low,medium,78,31,9
49,Yemen,civil war,2010-02-18,,16,951,49,Iran,UN,military,2010-02-18,,no,Iraq,10590111,15675,30.59,32.15,69.54,Baluchi,Shia Islam,high,17,2020-02-18,5.43,8,8,2,1669069,70948,water,low,high,72,16,7
50,Afghanistan,civil war,2010-02-19,2023-01-01,59,417,50,Afghanistan,NATO,military,2010-02-19,2023-01-01,yes,Iran,11216581,11489,15.97,40.06,94.58,Arab,Sunni Islam,medium,19,2020-02-19,2.25,2,5,1,41790,2272428,water,medium,low,66,15,5
51,Yemen,civil war,2010-02-20,,53,565,51,Iraq,UN,military,2010-02-20,,yes,Iraq,8620475,39229,32.62,37.03,69.78,Persian,Shia Islam,low,18,2020-02-20,6.59,6,4,4,2952969,2605298,shelter,medium,low,61,34,1
52,Syria,civil war,2010-02-21,,26,367,52,Syria,UN,diplomatic,2010-02-21,,partial,Afghanistan,34051370,14026,20.94,14.77,60.99,Turkoman,Shia Islam,high,17,2020-02-21,5.05,7,7,4,2191513,2961925,shelter,medium,low,64,6,1
53,Iraq,terrorism,2010-02-22,2023-01-01,60,287,53,Iran,Red Cross,diplomatic,2010-02-22,2023-01-01,no,Afghanistan,30211769,3980,8.66,24.7,84.23,Kurd,Christianity,high,15,2020-02-22,6.59,3,3,6,798597,1007424,food,medium,medium,88,48,9
54,Yemen,civil war,2010-02-23,,29,840,54,Iraq,NATO,humanitarian,2010-02-23,,yes,Syria,20495990,30413,42.42,51.77,80.96,Kurd,Sunni Islam,medium,6,2020-02-23,9.56,2,8,7,2826046,93860,water,high,high,64,17,2
55,Iran,territorial conflict,2010-02-24,2023-01-01,39,135,55,Afghanistan,UN,military,2010-02-24,2023-01-01,yes,Syria,7869810,17505,26.42,10.46,73.38,Turkoman,Sunni Islam,medium,1,2020-02-24,6.72,7,2,3,3137742,901920,food,low,medium,33,23,8
56,Afghanistan,territorial conflict,2010-02-25,2023-01-01,15,173,56,Iraq,Red Cross,humanitarian,2010-02-25,,yes,Iraq,20359120,18715,44.33,26.69,55.52,Arab,Christianity,medium,6,2020-02-25,1.9,3,7,1,279682,1042059,shelter,medium,low,96,49,3
57,Iraq,territorial conflict,2010-02-26,,79,50,57,Yemen,UN,diplomatic,2010-02-26,,partial,Iraq,2968318,4918,27.5,37.53,91.23,Arab,Sunni Islam,high,19,2020-02-26,9.45,3,6,3,2159077,1429923,food,low,low,14,8,1
58,Iran,territorial conflict,2010-02-27,2023-01-01,40,851,58,Iran,NATO,diplomatic,2010-02-27,2023-01-01,partial,Afghanistan,33096854,8495,25.2,39.88,81.94,Kurd,Sunni Islam,medium,1,2020-02-27,4.25,8,5,4,1069557,434297,food,high,low,43,32,8
59,Iran,civil war,2010-02-28,2023-01-01,88,122,59,Afghanistan,NATO,humanitarian,2010-02-28,,partial,Yemen,16554257,2631,32.42,31.35,77.45,Turkoman,Christianity,low,12,2020-02-28,4.54,2,9,2,4057826,387031,water,high,low,43,27,7
60,Yemen,territorial conflict,2010-03-01,,20,51,60,Iraq,NATO,humanitarian,2010-03-01,,yes,Afghanistan,22149040,46981,12.47,17.73,65.84,Persian,Shia Islam,low,17,2020-02-29,1.63,3,3,9,4384460,368249,shelter,medium,medium,40,48,6
61,Syria,terrorism,2010-03-02,,33,596,61,Iraq,Red Cross,diplomatic,2010-03-02,2023-01-01,yes,Yemen,13703518,24528,46.26,42.41,62.9,Persian,Christianity,medium,15,2020-03-01,9.27,3,7,7,3097764,650021,medicine,high,medium,26,25,5
62,Afghanistan,territorial conflict,2010-03-03,,9,430,62,Yemen,Red Cross,humanitarian,2010-03-03,2023-01-01,partial,Iran,37901537,38547,36.71,45.92,95.27,Turkoman,Sunni Islam,high,0,2020-03-02,5.5,8,8,3,2570527,2273855,water,medium,high,37,12,4
63,Syria,territorial conflict,2010-03-04,2023-01-01,50,242,63,Yemen,Red Cross,diplomatic,2010-03-04,2023-01-01,partial,Iraq,33960178,4679,31.06,12.58,63.33,Baluchi,Shia Islam,high,14,2020-03-03,4.96,4,6,3,2437193,1205144,shelter,high,high,29,3,3
64,Syria,civil war,2010-03-05,2023-01-01,35,850,64,Iraq,UN,humanitarian,2010-03-05,,yes,Iran,33106382,47067,6.57,47.5,67.58,Arab,Christianity,low,17,2020-03-04,7.9,9,5,0,4244175,624058,food,medium,low,91,32,9
65,Syria,civil war,2010-03-06,2023-01-01,28,648,65,Iran,NATO,military,2010-03-06,,yes,Iran,17884008,24068,24.21,37.62,93.4,Kurd,Sunni Islam,low,9,2020-03-05,2.29,7,5,2,4368410,2278034,shelter,low,high,70,7,4
66,Yemen,territorial conflict,2010-03-07,2023-01-01,76,113,66,Yemen,Red Cross,diplomatic,2010-03-07,,yes,Iran,23486874,1723,37.8,21.35,81.32,Turkoman,Sunni Islam,low,16,2020-03-06,7.72,6,4,9,2902112,1188586,food,medium,high,89,31,7
67,Iran,territorial conflict,2010-03-08,2023-01-01,35,896,67,Syria,NATO,military,2010-03-08,2023-01-01,yes,Syria,26926786,34232,21.95,14.44,52.08,Arab,Christianity,high,11,2020-03-07,8.93,7,4,5,4142389,1694221,medicine,medium,low,58,34,9
68,Iraq,civil war,2010-03-09,2023-01-01,25,567,68,Yemen,UN,military,2010-03-09,2023-01-01,yes,Iran,17634796,49529,40.46,57.65,64.68,Turkoman,Christianity,high,18,2020-03-08,3.73,2,7,8,4519915,1298811,medicine,high,high,85,33,9
69,Yemen,territorial conflict,2010-03-10,,4,892,69,Syria,UN,humanitarian,2010-03-10,2023-01-01,partial,Iran,2057245,48936,19.41,20.6,82.8,Persian,Christianity,high,11,2020-03-09,8.82,4,7,8,2965251,1900697,shelter,medium,high,80,26,2
70,Iran,civil war,2010-03-11,2023-01-01,72,65,70,Iraq,UN,military,2010-03-11,2023-01-01,yes,Iraq,32594141,10136,49.25,11.35,82.09,Arab,Shia Islam,low,6,2020-03-10,9.33,5,1,8,3448806,531734,shelter,low,medium,30,4,1
71,Iran,terrorism,2010-03-12,2023-01-01,37,105,71,Syria,NATO,military,2010-03-12,2023-01-01,partial,Afghanistan,32965815,31544,15.63,14.0,61.17,Turkoman,Sunni Islam,low,11,2020-03-11,8.02,5,2,1,3311853,891272,food,low,medium,99,25,6
72,Syria,civil war,2010-03-13,2023-01-01,14,911,72,Syria,UN,diplomatic,2010-03-13,2023-01-01,partial,Iraq,35161021,836,17.5,35.18,78.55,Arab,Sunni Islam,medium,15,2020-03-12,2.81,5,3,0,4756767,404732,shelter,high,medium,9,5,3
73,Afghanistan,civil war,2010-03-14,2023-01-01,57,144,73,Iran,NATO,humanitarian,2010-03-14,,partial,Afghanistan,16833666,8920,15.62,54.15,78.26,Persian,Shia Islam,low,4,2020-03-13,8.32,9,5,4,4169338,2589785,water,low,high,47,12,2
74,Yemen,territorial conflict,2010-03-15,2023-01-01,37,39,74,Yemen,Red Cross,military,2010-03-15,2023-01-01,partial,Iran,17636532,34909,41.3,27.5,78.8,Baluchi,Christianity,low,12,2020-03-14,7.64,5,1,3,2619961,2209374,shelter,low,high,51,31,5
75,Iran,civil war,2010-03-16,,41,251,75,Syria,Red Cross,military,2010-03-16,,partial,Afghanistan,35014471,37443,37.87,35.92,88.87,Baluchi,Shia Islam,high,4,2020-03-15,9.56,6,2,2,429927,1048496,shelter,medium,medium,56,34,6
76,Syria,civil war,2010-03-17,,8,145,76,Iran,Red Cross,humanitarian,2010-03-17,2023-01-01,partial,Syria,23233199,10572,21.05,26.14,61.23,Baluchi,Sunni Islam,high,1,2020-03-16,5.54,1,3,0,2294410,2463471,medicine,medium,medium,71,35,2
77,Iraq,civil war,2010-03-18,2023-01-01,54,594,77,Syria,NATO,military,2010-03-18,,no,Iraq,28522752,44450,15.02,52.3,77.72,Turkoman,Christianity,high,16,2020-03-17,7.59,2,5,1,2698667,1897807,shelter,high,low,84,39,9
78,Iraq,terrorism,2010-03-19,2023-01-01,3,588,78,Iran,Red Cross,humanitarian,2010-03-19,,yes,Syria,4158970,18947,14.34,52.55,86.15,Persian,Sunni Islam,high,4,2020-03-18,4.97,4,5,5,132161,1389305,medicine,medium,low,15,2,9
79,Yemen,terrorism,2010-03-20,,99,647,79,Yemen,Red Cross,military,2010-03-20,,no,Afghanistan,2679447,36701,49.61,30.86,60.9,Persian,Sunni Islam,medium,10,2020-03-19,2.06,9,9,6,1495739,2863633,water,medium,high,17,20,3
80,Iraq,terrorism,2010-03-21,,79,217,80,Iran,NATO,military,2010-03-21,2023-01-01,partial,Iraq,31052566,39799,32.82,54.7,70.3,Persian,Christianity,medium,3,2020-03-20,8.9,8,3,0,1360845,2624610,food,high,high,76,43,8
81,Iraq,civil war,2010-03-22,2023-01-01,19,539,81,Yemen,UN,military,2010-03-22,,yes,Iraq,36140135,16325,38.57,32.61,69.09,Arab,Shia Islam,low,7,2020-03-21,5.41,3,8,6,3904731,1279216,water,medium,high,57,49,5
82,Syria,territorial conflict,2010-03-23,,46,952,82,Syria,NATO,diplomatic,2010-03-23,,yes,Iraq,29990479,31863,41.74,37.46,66.04,Persian,Sunni Islam,high,6,2020-03-22,7.1,2,5,4,4921720,2044975,medicine,high,high,14,31,2
83,Afghanistan,civil war,2010-03-24,2023-01-01,70,462,83,Afghanistan,Red Cross,diplomatic,2010-03-24,2023-01-01,no,Iraq,27196762,8373,34.79,8.42,53.91,Turkoman,Sunni Islam,low,6,2020-03-23,9.51,8,5,4,4410915,1022492,water,high,high,20,49,4
84,Afghanistan,territorial conflict,2010-03-25,2023-01-01,48,33,84,Iran,UN,military,2010-03-25,2023-01-01,no,Syria,20098569,37125,13.75,34.14,57.49,Kurd,Sunni Islam,low,7,2020-03-24,1.49,8,5,4,364327,1619223,shelter,medium,low,22,36,2
85,Yemen,territorial conflict,2010-03-26,,70,755,85,Syria,UN,humanitarian,2010-03-26,2023-01-01,yes,Yemen,22810845,24489,5.05,5.77,60.14,Persian,Christianity,medium,3,2020-03-25,2.46,3,7,2,3240823,989875,shelter,low,low,11,21,3
86,Iraq,terrorism,2010-03-27,2023-01-01,77,227,86,Iran,Red Cross,humanitarian,2010-03-27,2023-01-01,no,Yemen,28918547,22200,48.09,20.1,66.13,Kurd,Shia Islam,medium,1,2020-03-26,9.17,9,2,9,956281,1490193,medicine,low,medium,78,17,5
87,Iraq,terrorism,2010-03-28,2023-01-01,81,678,87,Yemen,UN,humanitarian,2010-03-28,,no,Syria,33331046,11493,14.81,55.9,80.47,Turkoman,Christianity,low,11,2020-03-27,1.27,2,7,7,2566428,62381,food,medium,high,73,26,3
88,Syria,civil war,2010-03-29,2023-01-01,21,778,88,Iraq,Red Cross,military,2010-03-29,2023-01-01,no,Iraq,33464027,2742,27.62,41.1,71.0,Turkoman,Shia Islam,low,17,2020-03-28,7.44,5,5,9,631510,1254809,shelter,low,medium,23,17,9
89,Iran,territorial conflict,2010-03-30,2023-01-01,56,407,89,Afghanistan,NATO,military,2010-03-30,2023-01-01,partial,Yemen,13439169,36813,41.22,53.27,82.85,Kurd,Christianity,low,0,2020-03-29,9.45,1,1,0,2304158,2711165,medicine,medium,medium,32,4,3
90,Iran,territorial conflict,2010-03-31,,54,573,90,Syria,UN,diplomatic,2010-03-31,,partial,Yemen,15361373,36541,19.21,37.54,95.78,Baluchi,Christianity,medium,16,2020-03-30,3.24,8,9,7,2714593,8821,shelter,medium,high,23,46,4
91,Syria,civil war,2010-04-01,,18,940,91,Yemen,UN,diplomatic,2010-04-01,2023-01-01,partial,Afghanistan,11603453,32098,48.67,54.02,55.2,Arab,Sunni Islam,medium,16,2020-03-31,3.36,9,8,8,3830603,614598,shelter,low,medium,67,47,5
92,Syria,territorial conflict,2010-04-02,,34,510,92,Yemen,UN,humanitarian,2010-04-02,,partial,Iraq,37016794,41755,24.38,25.24,74.77,Baluchi,Christianity,low,13,2020-04-01,2.96,7,5,4,3503223,429730,water,medium,high,5,31,6
93,Yemen,terrorism,2010-04-03,2023-01-01,68,44,93,Iraq,Red Cross,diplomatic,2010-04-03,,partial,Yemen,39413008,8758,31.03,19.7,53.8,Turkoman,Shia Islam,low,19,2020-04-02,8.41,1,7,3,1653465,1036743,food,medium,high,93,15,4
94,Iran,territorial conflict,2010-04-04,,54,804,94,Yemen,NATO,diplomatic,2010-04-04,2023-01-01,no,Afghanistan,4769956,29709,47.69,52.75,69.93,Turkoman,Sunni Islam,high,14,2020-04-03,6.86,2,2,8,2026923,487827,shelter,low,medium,82,15,2
95,Yemen,terrorism,2010-04-05,2023-01-01,49,162,95,Afghanistan,UN,humanitarian,2010-04-05,,partial,Iran,19181983,30541,34.21,24.0,75.37,Baluchi,Sunni Islam,low,4,2020-04-04,8.19,5,2,0,665272,483329,medicine,high,medium,17,3,5
96,Yemen,terrorism,2010-04-06,2023-01-01,26,535,96,Iran,UN,military,2010-04-06,2023-01-01,partial,Iran,17611626,30035,41.87,34.77,63.93,Turkoman,Christianity,medium,13,2020-04-05,6.39,4,7,1,2317702,2101619,food,high,medium,83,3,7
97,Afghanistan,territorial conflict,2010-04-07,2023-01-01,30,951,97,Syria,NATO,diplomatic,2010-04-07,,yes,Iraq,29804714,7603,43.05,8.83,59.25,Kurd,Shia Islam,high,3,2020-04-06,3.42,2,3,3,2490067,1167849,water,high,low,45,12,8
98,Afghanistan,civil war,2010-04-08,,79,550,98,Afghanistan,NATO,military,2010-04-08,,yes,Syria,10649724,23093,11.03,34.72,85.89,Turkoman,Christianity,low,13,2020-04-07,1.02,6,5,9,4635780,1342044,medicine,low,medium,52,8,1
